age_days,category,occupied_unit,safety_flag,recurrence_count,asset_age_years,after_hours,urgent_followup
2,plumbing,1,1,2,9,0,1
6,appliance,1,0,1,7,0,0
1,electrical,1,1,1,12,1,1
14,cosmetic,0,0,0,3,0,0
4,hvac,1,1,2,14,1,1
9,plumbing,1,0,3,10,0,1
3,appliance,0,0,1,6,0,0
21,life_safety,1,1,1,8,0,1
12,cosmetic,1,0,0,2,0,0
5,electrical,0,0,2,11,0,0
7,hvac,1,0,2,15,0,1
1,life_safety,1,1,0,5,1,1
18,plumbing,0,0,2,9,0,0
11,appliance,1,0,4,13,0,1
2,electrical,1,1,0,4,0,1
16,cosmetic,0,0,1,1,0,0
3,hvac,1,1,1,16,0,1
8,plumbing,1,0,1,4,0,0
6,life_safety,0,1,0,7,0,1
10,appliance,1,0,2,12,1,1
13,electrical,1,0,3,10,0,1
4,cosmetic,1,0,0,2,0,0
2,hvac,0,0,1,9,0,0
17,plumbing,1,0,4,15,0,1

